Mois,Québec,Montréal
1997-04-01,60.1,60.3
1997-05-01,60.7,60.5
1997-06-01,59.4,61.5
1997-07-01,57.9,59.7
1997-08-01,62.8,64.0
1997-09-01,63.7,66.5
1997-10-01,61.8,63.4
1997-11-01,59.5,58.9
1997-12-01,59.3,59.8
1998-01-01,57.2,60.4
1998-02-01,57.8,58.6
1998-03-01,54.4,53.9
1998-04-01,54.2,56.7
1998-05-01,55.9,57.8
1998-06-01,55.3,56.9
1998-07-01,53.6,56.9
1998-08-01,53.6,54.6
1998-09-01,55.6,54.7
1998-10-01,56.6,56.3
1998-11-01,56.0,55.6
1998-12-01,51.8,52.8
1999-01-01,54.2,55.8
1999-02-01,53.7,52.2
1999-03-01,56.7,58.0
1999-04-01,60.7,61.2
1999-05-01,60.0,61.8
1999-06-01,57.2,60.6
1999-07-01,61.6,63.8
1999-08-01,68.5,67.3
1999-09-01,63.7,69.1
1999-10-01,68.9,69.7
1999-11-01,66.9,67.8
1999-12-01,65.4,69.2
2000-01-01,64.0,68.8
2000-02-01,69.4,73.8
2000-03-01,74.0,78.6
2000-04-01,67.6,71.7
2000-05-01,68.9,75.0
2000-06-01,75.5,81.7
2000-07-01,73.8,79.4
2000-08-01,71.0,77.8
2000-09-01,75.4,81.2
2000-10-01,73.7,81.5
2000-11-01,76.6,80.6
2000-12-01,73.4,75.8
2001-01-01,76.8,77.1
2001-02-01,77.0,77.4
2001-03-01,78.4,76.1
2001-04-01,81.9,81.3
2001-05-01,84.7,84.5
2001-06-01,78.7,75.5
2001-07-01,69.1,69.0
2001-08-01,71.9,73.5
2001-09-01,75.1,75.4
2001-10-01,72.3,69.4
2001-11-01,63.5,61.9
2001-12-01,58.0,63.9
2002-01-01,60.8,63.4
2002-02-01,63.5,65.6
2002-03-01,71.2,70.2
2002-04-01,75.2,73.0
2002-05-01,75.4,69.0
2002-06-01,73.3,68.2
2002-07-01,72.8,73.5
2002-08-01,75.4,75.3
2002-09-01,76.3,73.8
2002-10-01,77.1,77.5
2002-11-01,74.3,73.1
2002-12-01,70.3,73.7
2003-01-01,77.9,79.2
2003-02-01,85.8,85.8
2003-03-01,86.7,84.8
2003-04-01,78.2,75.0
2003-05-01,71.5,70.9
2003-06-01,73.8,72.8
2003-07-01,75.2,74.4
2003-08-01,82.7,80.0
2003-09-01,79.9,76.8
2003-10-01,76.3,74.6
2003-11-01,71.7,72.4
2003-12-01,73.9,73.5
2004-01-01,77.8,78.6
2004-02-01,82.4,80.5
2004-03-01,85.5,82.1
2004-04-01,83.7,82.3
2004-05-01,96.5,95.9
2004-06-01,92.2,90.3
2004-07-01,90.7,87.2
2004-08-01,88.2,88.0
2004-09-01,87.4,87.0
2004-10-01,91.4,93.2
2004-11-01,87.4,84.5
2004-12-01,81.3,79.4
2005-01-01,83.2,83.7
2005-02-01,85.9,85.2
2005-03-01,92.7,91.4
2005-04-01,94.1,94.5
2005-05-01,93.3,89.9
2005-06-01,95.2,96.5
2005-07-01,101.4,98.9
2005-08-01,105.8,107.4
2005-09-01,119.0,118.5
2005-10-01,107.7,105.2
2005-11-01,94.6,92.6
2005-12-01,96.9,92.4
2006-01-01,102.7,101.1
2006-02-01,96.4,92.0
2006-03-01,99.3,98.2
2006-04-01,113.5,111.8
2006-05-01,110.9,107.4
2006-06-01,108.8,106.3
2006-07-01,115.1,114.1
2006-08-01,114.9,112.7
2006-09-01,93.4,91.7
2006-10-01,87.7,88.5
2006-11-01,88.8,91.1
2006-12-01,96.9,94.3
2007-01-01,93.4,90.2
2007-02-01,94.3,93.6
2007-03-01,107.3,106.7
2007-04-01,108.4,110.1
2007-05-01,115.2,114.5
2007-06-01,110.8,105.1
2007-07-01,113.3,107.4
2007-08-01,106.8,102.7
2007-09-01,103.4,103.4
2007-10-01,103.0,102.3
2007-11-01,107.5,106.1
2007-12-01,113.9,109.9
2008-01-01,115.3,113.5
2008-02-01,115.2,114.4
2008-03-01,117.0,115.3
2008-04-01,119.8,123.8
