Année,Résidents,Résidents premier abbatage,Non-résidents
1998,135409,,1230
1999,131325,,1260
2000,137346,,1463
2001,144074,,1551
2002,151154,,1735
2003,156229,,1638
2004,162691,,1830
2005,162208,,1745
2006,169071,,1661
2007,171684,,1646
2008,161538,8986,1420
2009,152388,8826,1231
2010,145491,8635,1108
2011,140968,8369,1114
2012,143470,8795,1071
2013,144980,8916,1049
2014,143829,8883,1028
2015,140789,9286,1020
2016,139384,9351,943
2017,137224,9723,913
2018,134387,9816,915
2019,126315,9397,871
2020,135722,,691
2021,,,
