Année,Zone,Engin,Cerfs
1999,02,Arc,58
1999,02,Carabine,852
1999,02,Indéterminé,12
1999,03,Arc,94
1999,03,Carabine,1422
1999,03,ACB,3
1999,04,Arc,348
1999,04,Carabine,4536
1999,04,Indéterminé,0
1999,04,ACB,6
1999,05,Arc,127
1999,05,Carabine,1881
1999,05,Indéterminé,1
1999,05,ACB,5
1999,06,Arc,288
1999,06,Carabine,4540
1999,06,Indéterminé,1
1999,06,ACB,17
1999,07,Arc,1062
1999,08,Carabine,738
1999,08,ACB,1295
1999,09,Arc,110
1999,09,Carabine,1011
1999,09,Indéterminé,2
1999,10,Arc,241
1999,10,Carabine,4978
1999,10,ACB,1
1999,10,Indéterminé,4
1999,11,Arc,58
1999,11,Carabine,905
1999,11,ACB,2
1999,20,Arc,77
1999,20,Carabine,5912
2000,02,Arc,61
2000,02,Carabine,1175
2000,02,Indéterminé,3
2000,03,Arbalète,1
2000,03,Arc,103
2000,03,Carabine,1886
2000,03,Indéterminé,2
2000,03,ACB,1
2000,04,Arbalète,2
2000,04,Arc,338
2000,04,Carabine,5531
2000,04,Indéterminé,1
2000,04,ACB,9
2000,05,Arc,136
2000,05,Carabine,1966
2000,05,ACB,9
2000,06,Arbalète,2
2000,06,Arc,368
2000,06,Carabine,5255
2000,06,ACB,14
2000,07,Arc,1348
2000,07,Carabine,10
2000,08,Arc,343
2000,08,Carabine,895
2000,08,ACB,1546
2000,09,Arc,143
2000,09,Carabine,1535
2000,09,Indéterminé,1
2000,09,ACB,1
2000,10,Arc,258
2000,10,Carabine,7943
2000,10,Indéterminé,3
2000,10,ACB,0
2000,11,Arc,86
2000,11,Carabine,1461
2000,11,Indéterminé,0
2000,15,Arc,1
2000,15,Carabine,131
2000,20,Arbalète,0
2000,20,Arc,61
2000,20,Carabine,6083
2000,20,ACB,25
2001,01,Arc,15
2001,01,Carabine,717
2001,02,Arbalète,0
2001,02,Arc,38
2001,02,Carabine,763
2001,03,Arbalète,1
2001,03,Arc,67
2001,03,Carabine,1304
2001,03,ACB,2
2001,04,Arbalète,4
2001,04,Arc,234
2001,04,Carabine,3953
2001,04,ACB,8
2001,05,Arbalète,1
2001,05,Arc,67
2001,05,Carabine,1697
2001,05,ACB,82
2001,06,Arbalète,1
2001,06,Arc,274
2001,06,Carabine,4464
2001,06,ACB,98
2001,07,Arbalète,7
2001,07,Arc,1247
2001,07,Carabine,6
2001,07,ACB,0
2001,08,Arbalète,6
2001,08,Arc,263
2001,08,Carabine,735
2001,08,ACB,1632
2001,09,Arbalète,3
2001,09,Arc,152
2001,09,Carabine,1479
2001,09,ACB,1
2001,10,Arc,271
2001,10,Carabine,6784
2001,10,ACB,1
2001,10,Indéterminé,0
2001,11,Arc,47
2001,11,Carabine,1349
2001,11,Indéterminé,1
2001,13,ACB,2
2001,15,Carabine,214
2001,20,Arc,92
2001,20,Carabine,6628
2001,20,ACB,41
2002,01,Arbalète,1
2002,01,Arc,11
2002,01,Carabine,699
2002,01,Fusil,7
2002,02,Arbalète,5
2002,02,Arc,43
2002,02,Carabine,1054
2002,02,Fusil,5
2002,03,Arbalète,53
2002,03,Arc,87
2002,03,Carabine,1507
2002,03,Fusil,11
2002,03,ACB,66
2002,04,Arbalète,20
2002,04,Arc,218
2002,04,Carabine,3336
2002,04,Fusil,36
2002,04,ACB,2
2002,05,Arbalète,4
2002,05,Arc,76
2002,05,Carabine,1749
2002,05,Fusil,11
2002,05,ACB,15
2002,06,Arbalète,12
2002,06,Arc,287
2002,06,Carabine,4585
2002,06,Fusil,81
2002,06,ACB,18
2002,07,Arbalète,41
2002,07,Arc,1009
2002,07,Fusil,1738
2002,07,ACB,356
2002,08,Arbalète,18
2002,08,Arc,226
2002,08,Carabine,702
2002,08,Fusil,33
2002,08,ACB,1869
2002,09,Arbalète,9
2002,09,Arc,135
2002,09,Carabine,1679
2002,09,Fusil,45
2002,10,Arbalète,9
2002,10,Arc,359
2002,10,Carabine,6372
2002,10,Fusil,88
2002,10,ACB,150
2002,11,Arbalète,1
2002,11,Arc,79
2002,11,Carabine,1828
2002,11,Fusil,21
2002,11,ACB,2
2002,12,Carabine,18
2002,12,ACB,1
2002,13,Arc,0
2002,15,Arbalète,50
2002,15,Arc,35
2002,15,Carabine,336
2002,15,Fusil,8
2002,15,ACB,27
2002,20,Arc,74
2002,20,Carabine,7171
2002,20,Fusil,1
2002,20,ACB,12
2003,01,Arbalète,6
2003,01,Arc,15
2003,01,Carabine,857
2003,01,Fusil,1
2003,02,Arbalète,9
2003,02,Arc,58
2003,02,Carabine,863
2003,02,Fusil,1
2003,02,ACB,1
2003,03,Arbalète,99
2003,03,Arc,79
2003,03,Carabine,2031
2003,03,Fusil,30
2003,03,ACB,54
2003,04,Arbalète,34
2003,04,Arc,181
2003,04,Carabine,4193
2003,04,Fusil,66
2003,04,ACB,18
2003,05,Arbalète,4
2003,05,Arc,76
2003,05,Carabine,1838
2003,05,Fusil,24
2003,05,ACB,14
2003,06,Arbalète,37
2003,06,Arc,292
2003,06,Carabine,5038
2003,06,Fusil,68
2003,06,ACB,27
2003,07,Arbalète,78
2003,07,Arc,940
2003,07,Fusil,2116
2003,07,ACB,402
2003,08,Arbalète,33
2003,08,Arc,236
2003,08,Carabine,707
2003,08,Fusil,30
